"","BlueV","GreenV","RedV","RedEdge1V","RedEdge2V","RedEdge3V","NIRV","NIR2V","SWIR1V","SWIR2V","BlueP","GreenP","RedP","RedEdge1P","RedEdge2P","RedEdge3P","NIRP","NIR2P","SWIR1P","SWIR2P","BlueO","GreenO","RedO","RedEdge1O","RedEdge2O","RedEdge3O","NIRO","NIR2O","SWIR1O","SWIR2O","Class_Id"
"1",1014.25,1004,1071.25,1314.75,2067.5,2522.75,2469.5,2877.75,2153.5,1153.5,864.75,745.5,538,861,1596.25,1845.75,1835.25,1980,1347.25,773.5,856,549.25,354.5,396.25,508.5,561.75,495.75,573.25,470,298.25,1
"2",1083.25,1078,1262,1411.75,1959.5,2332.5,2276.75,2704.75,2459.75,1442.25,839.75,710,461.25,787.25,1856.25,2100,2153,2349.5,1173,594,864.75,579.5,370.75,498,805.25,881.5,846.75,997,570.5,291.75,1
"3",1031.75,995.25,1046,1254,1994,2382.75,2308,2702.25,2278.75,1247,950.75,858.25,667.25,1085,2192,2612,2630.75,2840.25,1970,1067.75,1012.75,828.75,624.25,966,1984.75,2325,2385.75,2625,1713,878.75,1
"4",894.5,811.75,713.5,926.75,1665,2002,1914,2245.5,1412,697.25,806,609,423.75,584.5,1254,1504.5,1485.75,1622.25,1023,527,825,504,303.75,295.5,425,420.25,392,433.25,237,121.75,1
"5",1058,1041.25,1096.25,1272.5,1832,2108.75,2072.25,2393.5,2134.25,1224,911.75,770.75,612,923.75,1660.5,1923.25,1870.25,2106.5,1576,910.5,993.75,754,614.75,777.25,1121.25,1239.25,1259,1386.5,1337.25,841.75,1
"6",1065.5,1065.75,1097,1390,2383.25,2833.25,2784,3170.25,2115.75,1166,903.5,826.75,593.5,1034.25,2142.5,2507.5,2450.5,2663.75,1535,830,1009.5,831.75,689,1025.25,1575.5,1756.5,1754.25,1948,1407.25,824.75,1
"7",902.25,823.75,702.25,932.25,1983.5,2427.5,2368.25,2667.5,1329.5,691.75,940.75,814.75,700.5,1032.75,1712.25,1996.5,1970.5,2253.25,1755.5,1115.5,1014,801.25,680.5,888.75,1395.25,1497.5,1601.75,1782.25,1209,756.5,1
"8",1012,991.25,961.25,1265.75,2117.25,2410.75,2442.75,2789.5,1981.5,1068.75,919.5,803.25,646.75,1052.5,1991.25,2299,2295,2522.25,1679,915.75,985.25,765.5,643,890.5,1472.75,1641.5,1688.25,1887.5,1409,833,1
"9",917,875,770.75,1071,2665.75,3481.5,3348.75,3854,1813.75,867.25,934.25,841.25,694.5,1131.5,2004.25,2311.75,2427,2613,1922.5,1086.5,1018.75,837,784,1141.5,1844.25,2212.25,2340,2655,1846.25,1074.75,1
"10",878.25,811.75,682.25,974.5,2090.25,2585.25,2481.75,2932,1525.5,726.75,866.25,701.5,545.25,780,1302.75,1493.5,1513.5,1683,1379.5,827.5,890,634.75,451.25,647.25,1212,1347.5,1378.25,1569.25,898.25,461.5,1
"11",953,903,846.25,1071,1953.75,2341.5,2314.75,2630.75,1619,867.5,890.25,734.75,613.25,850.5,1473.5,1668.25,1655,1823,1467.75,920.75,929.75,668.75,513,641,884.5,1020.25,978.75,1076.5,873.25,548,1
"12",1160.75,1250.75,1425.5,1631.25,2137,2396,2358.25,2699.25,2722.5,1772.75,1057,1063.25,966.5,1422.75,2507.25,2885.25,2850,3091.5,2449,1492.25,1153.75,1061.5,1062.5,1292.25,1744.25,1858.75,1876,2053.75,1985,1270.25,1
"13",1008.25,1042.5,1028.75,1263.25,2308.25,2751.25,2670,3024.5,1856.5,1046.75,1284.75,1352.75,1592,1771.25,2014.5,2121.75,2099.25,2187.25,2635.75,2016.5,1140.5,1007.75,1166.25,1335.5,1509.75,1677,1712,1896,2574.5,1843.75,1
"14",1022.25,1085.25,1108,1392.25,2422.5,2849.5,2732.25,3087.75,2093.75,1194.5,1290.75,1465.25,1855.25,2010.5,2239.5,2356,2281.75,2341.5,2732.5,1988.5,1069.5,925.5,1049,1183.75,1371.5,1502.5,1514.75,1646,1952.25,1323.75,1
"15",1125,1201,1303.25,1502.5,2271.25,2670.5,2550.75,2889,2275.25,1454.25,1292.75,1374.5,1647.25,1833.75,2117,2283.5,2257.5,2381.5,2649,2004.75,1185.75,1091.25,1169.75,1420.25,1781.5,1938.25,1977,2128,2440.25,1722.5,1
"16",946,947,827.75,1138.75,2328.5,2844.5,2792,3143,1781,930.5,1096.75,1068.25,1251.25,1457.25,1707.75,1856.5,1896.5,2059,2466.5,1821.25,1053.25,876.25,896.75,1146.75,1484.75,1683,1679,1900.75,2223.5,1535,1
"17",1174.5,1230,1273.5,1451.75,2295.75,2735,2653.75,2975.75,2064.5,1331.75,1348.25,1389.25,1582.25,1758.25,2039.75,2134.25,2127.5,2249.75,2494.75,1951.5,1330.5,1262,1399.25,1613.25,1975.25,2184,2253.75,2376.75,2553.25,1840.5,1
"18",943.25,926.25,864.75,1088.25,2091.25,2581.5,2484.75,2778.5,1580.75,871.75,1159,1166,1344,1520.25,1817,1956.75,1957.75,2034.75,2305,1716.25,987.5,760.5,762,869,1036.25,1145.75,1165,1272.25,1643.25,1175.25,1
"19",968.75,997.75,941,1240,2306.25,2754,2672.25,2972.25,1810.75,989.25,1232,1290.5,1581.25,1728.5,1946.75,2061,2044,2162,2792,2142.25,1138.75,1011.5,1222.25,1376.75,1603.25,1785.25,1840,1997.25,2721.75,1943.75,1
"20",920.75,911.5,793,1081.5,2271.75,2852.25,2735.25,3148.25,1626.5,827,990.5,867.25,926,1105.25,1393.25,1538,1531.5,1694,1975.5,1394.5,990.25,747.75,752.75,912,1142.25,1273.5,1345.5,1518.75,1458,934.25,1
"21",945.25,942.5,838.5,1109.75,2157.75,2600.25,2475.25,2855,1600,841.25,1006.75,903.25,920.5,1089.5,1365,1500,1496.5,1617.75,1660.75,1203,995,764.5,761.75,902.75,1087.75,1210.75,1225.75,1339,1283.25,871.25,1
"22",1034.5,1089.75,1075.5,1380.75,2524.25,3084.25,2930.75,3331.5,2026.5,1146.5,1197,1209.25,1423,1651,1951.25,2111.75,2112.75,2225,2466.25,1783,1178,1061.25,1311.25,1585.25,1918,2155.25,2203.75,2423.25,2591.5,1695.25,1
"23",863,824.75,604,932,2227.75,2774.5,2624.5,3038.25,1394.5,631,960.25,802.75,785,922,1116,1198.75,1207.75,1287.5,1428.25,1038.25,929,631,513,563.75,689.25,725.25,723,794.5,787.75,521,1
"24",916,893.5,763.75,1035.5,2152,2656.5,2509.75,2846,1457.5,746.5,1045.5,936.25,985.25,1091.75,1230.25,1314.75,1305.5,1407.25,1580,1196.25,1004.5,759.75,785.5,927,1076,1210,1219.5,1352,1309,878.75,1
"25",959,975,888,1206.75,2389.75,2845.5,2726,3169.25,1755.5,910.75,1123.5,1115,1273.5,1449.25,1719,1823.75,1778.5,1929.75,2030.25,1443.5,1108,948.25,1121.75,1407.75,1742.5,2048.75,2134.25,2369.75,2437.5,1538.75,1
